"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","4.4 ms (0%)","0.0 ms (0%)","4.4 ms (0%)","0.0 ms (0%)","4,979"
"com.symatiq.states.AppState.replaceHiddenWidgets (java.util.List, String)","0.041 ms (0%)","0.0 ms (0%)","0.920 ms (0%)","0.0 ms (0%)","30"
"com.symatiq.states.AppState.addProductVersion (String)","0.002 ms (0%)","0.0 ms (0%)","0.009 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.addIteration ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.getStateCount ()","0.007 ms (0%)","0.0 ms (0%)","0.025 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget)","0.006 ms (0%)","0.0 ms (0%)","0.006 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.501 ms (0%)","0.0 ms (0%)","0.501 ms (0%)","0.0 ms (0%)","2,041"
"com.symatiq.states.AppState.getAllWidgets ()","10.0 ms (0%)","0.0 ms (0%)","10.0 ms (0%)","0.0 ms (0%)","14,891"
"com.symatiq.states.AppState.getCurrentPath ()","0.017 ms (0%)","0.0 ms (0%)","0.017 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.coveredPercent (String)","1.8 ms (0%)","0.0 ms (0%)","12.5 ms (0%)","0.0 ms (0%)","4,979"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","1.88 ms (0%)","0.0 ms (0%)","11.4 ms (0%)","0.0 ms (0%)","4,979"
"com.symatiq.states.AppState.addWidgets (java.util.List, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.182 ms (0%)","0.0 ms (0%)","0.683 ms (0%)","0.0 ms (0%)","31"
"com.symatiq.states.AppState.removeWidgets (String, com.symatiq.widgets.Widget.WidgetVisibility)","0.196 ms (0%)","0.0 ms (0%)","0.196 ms (0%)","0.0 ms (0%)","31"
"com.symatiq.states.AppState.isHome ()","2.25 ms (0%)","0.0 ms (0%)","2.25 ms (0%)","0.0 ms (0%)","47,093"
"com.symatiq.states.AppState.getLeafCount ()","1.94 ms (0%)","0.0 ms (0%)","20.6 ms (0%)","0.0 ms (0%)","14,370"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","6.41 ms (0%)","0.0 ms (0%)","18.6 ms (0%)","0.0 ms (0%)","32,723"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","8.97 ms (0%)","0.0 ms (0%)","17.9 ms (0%)","0.0 ms (0%)","38,698"
"com.symatiq.states.AppState.getCoveredStates (java.util.IdentityHashMap)","0.005 ms (0%)","0.0 ms (0%)","0.017 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.getPathToBookmark (java.util.List, java.util.List)","0.095 ms (0%)","0.0 ms (0%)","0.095 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.getVisibleActions ()","18.9 ms (0%)","0.0 ms (0%)","18.9 ms (0%)","0.0 ms (0%)","57,053"
"com.symatiq.states.AppState.containIssues ()","1.57 ms (0%)","0.0 ms (0%)","4.31 ms (0%)","14.6 ms (0.6%)","17,128"
"org.openqa.selenium.logging.CompositeLocalLogs.addEntry (String, org.openqa.selenium.logging.LogEntry)","0.558 ms (0%)","0.0 ms (0%)","0.916 ms (0%)","0.0 ms (0%)","632"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","75.9 ms (0%)","0.0 ms (0%)","75.9 ms (0%)","0.0 ms (0%)","2,585"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","6.36 ms (0%)","0.0 ms (0%)","6.36 ms (0%)","0.0 ms (0%)","110"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.image.BufferedImage)","0.074 ms (0%)","0.0 ms (0%)","0.136 ms (0%)","0.0 ms (0%)","49"
"com.symatiq.extension.PluginThreads.callMethod (String, String, com.symatiq.actions.Action)","0.870 ms (0%)","0.0 ms (0%)","145 ms (0%)","0.0 ms (0%)","69"
"com.symatiq.extension.PluginThreads.callMethod (String, String)","4.60 ms (0%)","0.0 ms (0%)","54,439 ms (5.7%)","0.0 ms (0%)","81"
"com.symatiq.Scout$MyMouseListener.mousePressed (java.awt.event.MouseEvent)","0.851 ms (0%)","0.0 ms (0%)","0.851 ms (0%)","0.0 ms (0%)","14"
"com.symatiq.Scout$MyMouseListener.mouseReleased (java.awt.event.MouseEvent)","0.631 ms (0%)","0.0 ms (0%)","3.85 ms (0%)","0.0 ms (0%)","14"
"com.symatiq.Scout$MyMouseListener.mouseExited (java.awt.event.MouseEvent)","0.081 ms (0%)","0.0 ms (0%)","0.081 ms (0%)","0.0 ms (0%)","4"
"com.symatiq.Scout$MyMouseListener.mouseDragged (java.awt.event.MouseEvent)","5.75 ms (0%)","0.0 ms (0%)","79.7 ms (0%)","0.0 ms (0%)","477"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (Object)","0.114 ms (0%)","0.0 ms (0%)","2,384 ms (0.3%)","15.3 ms (0.7%)","316"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","4.92 ms (0%)","0.0 ms (0%)","2,384 ms (0.3%)","15.3 ms (0.7%)","316"
"org.openqa.selenium.json.JsonInputIterator.hasNext ()","0.434 ms (0%)","0.0 ms (0%)","5.38 ms (0%)","0.0 ms (0%)","7,187"
