"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.replaceHiddenWidgets (java.util.List, String)","0.038 ms (0%)","0.0 ms (0%)","0.912 ms (0%)","0.0 ms (0%)","30"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","4.18 ms (0%)","0.0 ms (0%)","4.18 ms (0%)","0.0 ms (0%)","4,751"
"com.symatiq.states.AppState.replaceSuggestedWidgets (java.util.List, String)","0.002 ms (0%)","0.0 ms (0%)","0.005 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.logging.CompositeLocalLogs.addEntry (String, org.openqa.selenium.logging.LogEntry)","0.940 ms (0%)","0.0 ms (0%)","1.52 ms (0%)","0.0 ms (0%)","906"
"com.symatiq.extension.PluginThreads.callMethod (String, String, com.symatiq.actions.Action)","9.91 ms (0%)","0.0 ms (0%)","66.3 ms (0%)","0.0 ms (0%)","54"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","142 ms (0%)","0.0 ms (0%)","3,282 ms (0.3%)","0.0 ms (0%)","52,261"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.image.BufferedImage)","0.026 ms (0%)","0.0 ms (0%)","0.211 ms (0%)","0.0 ms (0%)","44"
"com.symatiq.extension.PluginThreads.callMethod (String, String)","3.27 ms (0%)","0.0 ms (0%)","51,171 ms (4%)","0.0 ms (0%)","69"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","79.4 ms (0%)","0.0 ms (0%)","79.4 ms (0%)","0.0 ms (0%)","2,465"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","4.28 ms (0%)","0.0 ms (0%)","4.28 ms (0%)","0.0 ms (0%)","101"
"com.symatiq.Scout$MyMouseListener.mousePressed (java.awt.event.MouseEvent)","0.435 ms (0%)","0.0 ms (0%)","0.435 ms (0%)","0.0 ms (0%)","14"
"com.symatiq.Scout$MyMouseListener.mouseReleased (java.awt.event.MouseEvent)","0.628 ms (0%)","0.0 ms (0%)","3.84 ms (0%)","0.0 ms (0%)","14"
"com.symatiq.Scout$MyMouseListener.mouseExited (java.awt.event.MouseEvent)","0.031 ms (0%)","0.0 ms (0%)","0.031 ms (0%)","0.0 ms (0%)","3"
"com.symatiq.Scout$MyMouseListener.mouseMoved (java.awt.event.MouseEvent)","36.8 ms (0%)","0.0 ms (0%)","36.8 ms (0%)","0.0 ms (0%)","4,295"
