"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.getAllWidgets ()","5.18 ms (0%)","0.0 ms (0%)","5.18 ms (0%)","0.0 ms (0%)","9,907"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","1.37 ms (0%)","0.0 ms (0%)","8.95 ms (0%)","0.0 ms (0%)","3,306"
"com.symatiq.states.AppState.coveredPercent (String)","0.644 ms (0%)","0.0 ms (0%)","9.59 ms (0%)","0.0 ms (0%)","3,306"
"com.symatiq.states.AppState.getIssues ()","3.23 ms (0%)","0.0 ms (0%)","3.23 ms (0%)","0.0 ms (0%)","11,846"
"com.symatiq.states.AppState.addWidgets (java.util.List, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.109 ms (0%)","0.0 ms (0%)","0.317 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.isHome ()","2.7 ms (0%)","0.0 ms (0%)","2.7 ms (0%)","0.0 ms (0%)","41,064"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","6.22 ms (0%)","0.0 ms (0%)","13.2 ms (0%)","0.0 ms (0%)","28,782"
"com.symatiq.states.AppState.removeWidgets (String, com.symatiq.widgets.Widget.WidgetVisibility)","0.080 ms (0%)","0.0 ms (0%)","0.080 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.getCoveredStates (java.util.IdentityHashMap)","0.008 ms (0%)","0.0 ms (0%)","0.029 ms (0%)","0.0 ms (0%)","6"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","5.21 ms (0%)","0.0 ms (0%)","15.7 ms (0%)","9.70 ms (0.4%)","29,979"
"com.symatiq.states.AppState.getLeafCount ()","1.58 ms (0%)","0.0 ms (0%)","17.3 ms (0%)","9.5 ms (0.3%)","11,085"
"com.symatiq.states.AppState.getPathToBookmark (java.util.List, java.util.List)","0.047 ms (0%)","0.0 ms (0%)","0.047 ms (0%)","0.0 ms (0%)","9"
"com.symatiq.states.AppState.containIssues ()","1.16 ms (0%)","0.0 ms (0%)","4.39 ms (0%)","0.0 ms (0%)","11,846"
"org.openqa.selenium.logging.CompositeLocalLogs.addEntry (String, org.openqa.selenium.logging.LogEntry)","0.888 ms (0%)","0.0 ms (0%)","1.44 ms (0%)","0.0 ms (0%)","1,084"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","12.8 ms (0%)","0.0 ms (0%)","12.8 ms (0%)","0.0 ms (0%)","390"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","3.85 ms (0%)","0.0 ms (0%)","3.85 ms (0%)","0.0 ms (0%)","88"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.image.BufferedImage)","0.017 ms (0%)","0.0 ms (0%)","0.061 ms (0%)","0.0 ms (0%)","31"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","81.5 ms (0%)","0.0 ms (0%)","1,712 ms (0.2%)","0.0 ms (0%)","36,366"
"com.symatiq.extension.PluginThreads.callMethod (String, String, com.symatiq.actions.Action)","0.350 ms (0%)","0.0 ms (0%)","1,375 ms (0.1%)","0.0 ms (0%)","40"
"com.symatiq.extension.PluginThreads.callMethod (String, String)","7.57 ms (0%)","0.0 ms (0%)","35,432 ms (3.3%)","0.0 ms (0%)","64"
"com.symatiq.Scout$MyMouseListener.mousePressed (java.awt.event.MouseEvent)","0.285 ms (0%)","0.0 ms (0%)","0.285 ms (0%)","0.0 ms (0%)","8"
"com.symatiq.Scout$MyMouseListener.mouseReleased (java.awt.event.MouseEvent)","0.562 ms (0%)","0.0 ms (0%)","2.9 ms (0%)","0.0 ms (0%)","8"
"com.symatiq.Scout$MyMouseListener.mouseExited (java.awt.event.MouseEvent)","0.014 ms (0%)","0.0 ms (0%)","0.014 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.Scout$MyMouseListener.mouseMoved (java.awt.event.MouseEvent)","29.0 ms (0%)","0.0 ms (0%)","29.0 ms (0%)","0.0 ms (0%)","3,187"
"com.symatiq.Scout$MyMouseListener.mouseDragged (java.awt.event.MouseEvent)","0.960 ms (0%)","0.0 ms (0%)","10.1 ms (0%)","0.0 ms (0%)","53"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (Object)","0.180 ms (0%)","0.0 ms (0%)","933 ms (0.1%)","57.6 ms (2.2%)","542"
"org.openqa.selenium.json.JsonInputIterator.hasNext ()","0.426 ms (0%)","0.0 ms (0%)","4.98 ms (0%)","0.0 ms (0%)","5,215"
"org.openqa.selenium.json.JsonInputIterator.next ()","0.089 ms (0%)","0.0 ms (0%)","0.089 ms (0%)","0.0 ms (0%)","3,649"
"org.openqa.selenium.json.JsonInputIterator.asStream ()","0.419 ms (0%)","0.0 ms (0%)","0.419 ms (0%)","0.0 ms (0%)","1,566"
"com.symatiq.Scout$RemoteKeyListener.keyPressed (java.awt.event.KeyEvent)","0.270 ms (0%)","0.0 ms (0%)","2.26 ms (0%)","0.0 ms (0%)","10"
"plugin.AppiumPlugin.performAction (com.symatiq.actions.Action)","0.017 ms (0%)","0.0 ms (0%)","1,375 ms (0.1%)","0.0 ms (0%)","8"
"plugin.AppiumPlugin.getCapture ()","0.075 ms (0%)","0.0 ms (0%)","35,496 ms (3.3%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.changeState ()","0.003 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","2"
"plugin.AppiumPlugin.getScreenshot ()","0.084 ms (0%)","0.0 ms (0%)","3,315 ms (0.3%)","0.0 ms (0%)","14"
"plugin.AppiumPlugin.widgetClickHandle (com.symatiq.widgets.Widget)","0.026 ms (0%)","0.0 ms (0%)","1,223 ms (0.1%)","0.0 ms (0%)","2"
"plugin.AppiumPlugin.createWidgets ()","10.5 ms (0%)","0.0 ms (0%)","30,571 ms (2.9%)","0.0 ms (0%)","14"
"plugin.AppiumPlugin.hasSourceChanged ()","0.146 ms (0%)","0.0 ms (0%)","1,609 ms (0.2%)","0.0 ms (0%)","23"
"plugin.AppiumPlugin.updateLastWidgets (java.util.List)","0.036 ms (0%)","0.0 ms (0%)","0.453 ms (0%)","0.0 ms (0%)","14"
"plugin.AppiumPlugin.isCheckTag (String)","0.081 ms (0%)","0.0 ms (0%)","0.081 ms (0%)","0.0 ms (0%)","54"
"plugin.AppiumPlugin.updateCapture ()","0.095 ms (0%)","0.0 ms (0%)","35,495 ms (3.3%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.shutdownAndAwaitTermination (java.util.concurrent.ExecutorService)","28,494 ms (9.2%)","0.0 ms (0%)","28,494 ms (2.7%)","0.0 ms (0%)","14"
"plugin.AppiumPlugin.createWidgetFromElement (org.openqa.selenium.WebElement, String, String, String, String, String, String)","3.12 ms (0%)","0.0 ms (0%)","8,893 ms (0.8%)","0.0 ms (0%)","54"
"plugin.AppiumPlugin.performAppiumAction (com.symatiq.actions.Action)","2.1 ms (0%)","0.0 ms (0%)","1,375 ms (0.1%)","0.0 ms (0%)","8"
"plugin.AppiumPlugin.lambda$createWidgets$1 (com.symatiq.widgets.Widget)","0.062 ms (0%)","0.0 ms (0%)","0.079 ms (0%)","0.0 ms (0%)","550"
"plugin.AppiumPlugin.lambda$createWidgets$2 (java.util.concurrent.ConcurrentLinkedQueue, java.util.Set, java.util.concurrent.ConcurrentLinkedQueue)","4.50 ms (0%)","0.0 ms (0%)","70,293 ms (6.6%)","55.4 ms (2.1%)","45"
"plugin.AppiumPlugin.lambda$createWidgets$0 (com.symatiq.widgets.Widget)","0.059 ms (0%)","0.0 ms (0%)","0.115 ms (0%)","0.0 ms (0%)","550"
"plugin.Autopilot.updateState ()","0.009 ms (0%)","0.0 ms (0%)","0.018 ms (0%)","0.0 ms (0%)","6"
"plugin.Autopilot.changeState ()","0.022 ms (0%)","0.0 ms (0%)","0.022 ms (0%)","0.0 ms (0%)","2"
"plugin.Autopilot.autoPerformAction ()","0.004 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","6"
"org.openqa.selenium.json.JsonOutput$JsonObject.name (String)","0.038 ms (0%)","0.0 ms (0%)","0.682 ms (0%)","0.0 ms (0%)","62"
"org.openqa.selenium.json.JsonOutput$JsonObject.write (String)","0.008 ms (0%)","0.0 ms (0%)","0.021 ms (0%)","0.0 ms (0%)","62"
"org.openqa.selenium.remote.Dialect$1.getEncodedElementKey ()","0.030 ms (0%)","0.0 ms (0%)","0.030 ms (0%)","0.0 ms (0%)","990"
"org.openqa.selenium.By.xpath (String)","0.111 ms (0%)","0.0 ms (0%)","0.125 ms (0%)","0.0 ms (0%)","14"
"plugin.MimicActions.updateSuggestions ()","0.041 ms (0%)","0.0 ms (0%)","0.094 ms (0%)","0.0 ms (0%)","1"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute (org.openqa.selenium.remote.http.HttpRequest)","0.526 ms (0%)","0.0 ms (0%)","76,059 ms (7.1%)","0.0 ms (0%)","542"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","76,015 ms (24.5%)","0.0 ms (0%)","76,052 ms (7.1%)","0.0 ms (0%)","542"
"org.openqa.selenium.remote.ErrorCodes.toStatus (String, java.util.Optional)","1.39 ms (0%)","0.0 ms (0%)","1.46 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.remote.ErrorCodes.lambda$toStatus$2 (String, org.openqa.selenium.remote.ErrorCodes.KnownError)","0.053 ms (0%)","0.0 ms (0%)","0.053 ms (0%)","0.0 ms (0%)","580"
"org.openqa.selenium.SharedCapabilitiesMethods.toString (org.openqa.selenium.Capabilities)","0.742 ms (0%)","0.0 ms (0%)","13.3 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.SharedCapabilitiesMethods.abbreviate (java.util.Map, Object)","8.46 ms (0%)","0.0 ms (0%)","9.48 ms (0%)","0.0 ms (0%)","760"
"org.openqa.selenium.SharedCapabilitiesMethods.lambda$abbreviate$3 (java.util.Map.Entry)","0.423 ms (0%)","0.0 ms (0%)","0.423 ms (0%)","0.0 ms (0%)","4,480"
"org.openqa.selenium.SharedCapabilitiesMethods.lambda$abbreviate$4 (java.util.Map, java.util.Map.Entry)","0.535 ms (0%)","0.0 ms (0%)","2.1 ms (0%)","0.0 ms (0%)","740"
"org.openqa.selenium.remote.ErrorCodec.decode (java.util.Map)","19.2 ms (0%)","0.0 ms (0%)","19.2 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.remote.ErrorCodec.lambda$decode$0 (String, org.openqa.selenium.remote.ErrorCodec.W3CError)","0.037 ms (0%)","0.0 ms (0%)","0.037 ms (0%)","0.0 ms (0%)","400"
"com.symatiq.extension.PluginThreads$CallActionMethodThread.run ()","0.030 ms (0%)","0.0 ms (0%)","1,375 ms (0.1%)","0.0 ms (0%)","40"
"org.openqa.selenium.MutableCapabilities.toString ()","0.008 ms (0%)","0.0 ms (0%)","13.3 ms (0%)","0.0 ms (0%)","20"
"org.openqa.selenium.MutableCapabilities.getCapability (String)","0.160 ms (0%)","0.0 ms (0%)","0.160 ms (0%)","0.0 ms (0%)","2,970"
