"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.addProductVersion (String)","0.008 ms (0%)","0.0 ms (0%)","0.025 ms (0%)","0.0 ms (0%)","13"
"com.symatiq.states.AppState.addIteration ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","13"
"com.symatiq.states.AppState.getStateCount ()","0.040 ms (0%)","0.0 ms (0%)","0.545 ms (0%)","0.0 ms (0%)","39"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget.WidgetVisibility, String)","1.25 ms (0%)","0.0 ms (0%)","1.25 ms (0%)","0.0 ms (0%)","9,273"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget)","0.015 ms (0%)","0.0 ms (0%)","0.015 ms (0%)","0.0 ms (0%)","13"
"com.symatiq.states.AppState.getAllWidgets ()","4.68 ms (0%)","0.0 ms (0%)","4.68 ms (0%)","0.0 ms (0%)","4,252"
"com.symatiq.states.AppState.getCurrentPath ()","0.018 ms (0%)","0.0 ms (0%)","0.018 ms (0%)","0.0 ms (0%)","17"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","0.843 ms (0%)","0.0 ms (0%)","8.52 ms (0%)","0.0 ms (0%)","1,432"
"com.symatiq.states.AppState.coveredPercent (String)","0.367 ms (0%)","0.0 ms (0%)","8.89 ms (0%)","0.0 ms (0%)","1,432"
"com.symatiq.states.AppState.isHome ()","1.65 ms (0%)","0.0 ms (0%)","1.65 ms (0%)","0.0 ms (0%)","49,175"
"com.symatiq.states.AppState.addWidgets (java.util.List, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.611 ms (0%)","0.0 ms (0%)","1.86 ms (0%)","0.0 ms (0%)","57"
"com.symatiq.states.AppState.removeWidgets (String, com.symatiq.widgets.Widget.WidgetVisibility)","0.412 ms (0%)","0.0 ms (0%)","0.412 ms (0%)","0.0 ms (0%)","57"
"com.symatiq.states.AppState.getIssues ()","5.29 ms (0%)","0.0 ms (0%)","5.29 ms (0%)","0.0 ms (0%)","8,196"
"com.symatiq.states.AppState.getPathToBookmark (java.util.List, java.util.List)","0.102 ms (0%)","0.0 ms (0%)","0.102 ms (0%)","0.0 ms (0%)","17"
"com.symatiq.states.AppState.getLeafCount ()","1.13 ms (0%)","0.0 ms (0%)","29.6 ms (0%)","23.4 ms (1%)","8,196"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","4.74 ms (0%)","0.0 ms (0%)","15.3 ms (0%)","9.78 ms (0.4%)","19,256"
"com.symatiq.states.AppState.getCoveredStates (java.util.IdentityHashMap)","0.086 ms (0%)","0.0 ms (0%)","0.501 ms (0%)","0.0 ms (0%)","227"
"com.symatiq.states.AppState.getVisibleActions ()","27.8 ms (0%)","0.0 ms (0%)","27.8 ms (0%)","0.0 ms (0%)","52,266"
"com.symatiq.states.AppState.getBestUncoveredWidget (String)","2.2 ms (0%)","0.0 ms (0%)","3.28 ms (0%)","0.0 ms (0%)","1,432"
"com.symatiq.states.AppState.replaceHiddenWidgets (java.util.List, String)","0.059 ms (0%)","0.0 ms (0%)","2.30 ms (0%)","0.0 ms (0%)","53"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","3.88 ms (0%)","0.0 ms (0%)","3.88 ms (0%)","0.0 ms (0%)","1,485"
"com.symatiq.states.AppState.coveredPagesPercent (String)","0.393 ms (0%)","0.0 ms (0%)","15.8 ms (0%)","5.19 ms (0.2%)","1,432"
"com.symatiq.states.AppState.coveredPagesPercent (String, boolean)","5.75 ms (0%)","0.0 ms (0%)","15.4 ms (0%)","5.48 ms (0.2%)","1,432"
"com.symatiq.states.AppState.replaceSuggestedWidgets (java.util.List, String)","0.005 ms (0%)","0.0 ms (0%)","0.040 ms (0%)","0.0 ms (0%)","4"
"org.openqa.selenium.logging.CompositeLocalLogs.addEntry (String, org.openqa.selenium.logging.LogEntry)","0.802 ms (0%)","0.0 ms (0%)","1.37 ms (0%)","0.0 ms (0%)","1,422"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","4.63 ms (0%)","0.0 ms (0%)","4.63 ms (0%)","0.0 ms (0%)","130"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","10.0 ms (0%)","0.0 ms (0%)","10.0 ms (0%)","0.0 ms (0%)","224"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.image.BufferedImage)","0.026 ms (0%)","0.0 ms (0%)","0.102 ms (0%)","0.0 ms (0%)","53"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","46.0 ms (0%)","0.0 ms (0%)","2,484 ms (0.7%)","0.0 ms (0%)","15,752"
"com.symatiq.extension.PluginThreads.callMethod (String, String, com.symatiq.actions.Action)","0.444 ms (0%)","0.0 ms (0%)","540 ms (0.1%)","15.5 ms (0.6%)","46"
"com.symatiq.extension.PluginThreads.callMethod (String, String)","3.50 ms (0%)","0.0 ms (0%)","7,355 ms (2%)","0.0 ms (0%)","180"
"com.symatiq.Scout$MyMouseListener.mousePressed (java.awt.event.MouseEvent)","1.25 ms (0%)","0.0 ms (0%)","1.25 ms (0%)","0.0 ms (0%)","13"
"com.symatiq.Scout$MyMouseListener.mouseReleased (java.awt.event.MouseEvent)","0.582 ms (0%)","0.0 ms (0%)","2.92 ms (0%)","0.0 ms (0%)","13"
"com.symatiq.Scout$MyMouseListener.mouseExited (java.awt.event.MouseEvent)","0.031 ms (0%)","0.0 ms (0%)","0.031 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.Scout$MyMouseListener.mouseMoved (java.awt.event.MouseEvent)","18.0 ms (0%)","0.0 ms (0%)","18.0 ms (0%)","0.0 ms (0%)","1,337"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (Object)","0.366 ms (0%)","0.0 ms (0%)","1,819 ms (0.5%)","6.62 ms (0.3%)","711"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","6.95 ms (0%)","0.0 ms (0%)","1,819 ms (0.5%)","6.71 ms (0.3%)","711"
"org.openqa.selenium.json.JsonInputIterator.hasNext ()","0.315 ms (0%)","0.0 ms (0%)","3.5 ms (0%)","0.0 ms (0%)","2,136"
"org.openqa.selenium.json.JsonInputIterator.next ()","0.065 ms (0%)","0.0 ms (0%)","0.065 ms (0%)","0.0 ms (0%)","1,173"
"org.openqa.selenium.json.JsonInputIterator.asStream ()","0.411 ms (0%)","0.0 ms (0%)","0.411 ms (0%)","0.0 ms (0%)","963"
"com.symatiq.Scout$RemoteKeyListener.keyPressed (java.awt.event.KeyEvent)","0.429 ms (0%)","0.0 ms (0%)","3.3 ms (0%)","0.0 ms (0%)","13"
"plugin.Autopilot.updateState ()","0.139 ms (0%)","0.0 ms (0%)","0.154 ms (0%)","0.0 ms (0%)","10"
"plugin.Autopilot.changeState ()","0.026 ms (0%)","0.0 ms (0%)","0.027 ms (0%)","0.0 ms (0%)","4"
"plugin.Autopilot.autoPerformAction ()","0.007 ms (0%)","0.0 ms (0%)","0.009 ms (0%)","0.0 ms (0%)","10"
"org.openqa.selenium.json.JsonOutput$JsonObject.name (String)","0.354 ms (0%)","0.0 ms (0%)","3.26 ms (0%)","0.0 ms (0%)","1,116"
