"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","4.49 ms (0%)","0.0 ms (0%)","4.49 ms (0%)","0.0 ms (0%)","803"
"com.symatiq.states.AppState.addIteration ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","8"
"com.symatiq.states.AppState.addProductVersion (String)","0.005 ms (0%)","0.0 ms (0%)","0.020 ms (0%)","0.0 ms (0%)","8"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget)","0.024 ms (0%)","0.0 ms (0%)","0.024 ms (0%)","0.0 ms (0%)","8"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget.WidgetVisibility, String)","2.76 ms (0%)","0.0 ms (0%)","2.76 ms (0%)","0.0 ms (0%)","13,399"
"com.symatiq.states.AppState.getCurrentPath ()","0.018 ms (0%)","0.0 ms (0%)","0.018 ms (0%)","0.0 ms (0%)","11"
"com.symatiq.states.AppState.getStateCount ()","0.035 ms (0%)","0.0 ms (0%)","0.788 ms (0%)","0.0 ms (0%)","32"
"com.symatiq.states.AppState.getAllWidgets ()","4.7 ms (0%)","0.0 ms (0%)","4.7 ms (0%)","0.0 ms (0%)","2,077"
"com.symatiq.states.AppState.coveredPercent (String)","0.290 ms (0%)","0.0 ms (0%)","7.2 ms (0%)","0.0 ms (0%)","774"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","0.800 ms (0%)","0.0 ms (0%)","6.73 ms (0%)","0.0 ms (0%)","774"
"com.symatiq.states.AppState.getIssues ()","4.98 ms (0%)","0.0 ms (0%)","4.98 ms (0%)","0.0 ms (0%)","2,980"
"com.symatiq.states.AppState.addWidgets (java.util.List, com.symatiq.widgets.Widget.WidgetVisibility, String)","1.1 ms (0%)","0.0 ms (0%)","3.78 ms (0%)","0.0 ms (0%)","32"
"com.symatiq.states.AppState.isHome ()","0.450 ms (0%)","0.0 ms (0%)","0.450 ms (0%)","0.0 ms (0%)","12,054"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","2.70 ms (0%)","0.0 ms (0%)","10.3 ms (0%)","0.0 ms (0%)","7,508"
"com.symatiq.states.AppState.removeWidgets (String, com.symatiq.widgets.Widget.WidgetVisibility)","0.441 ms (0%)","0.0 ms (0%)","0.441 ms (0%)","0.0 ms (0%)","32"
"com.symatiq.states.AppState.getCoveredStates (java.util.IdentityHashMap)","0.067 ms (0%)","0.0 ms (0%)","0.748 ms (0%)","0.0 ms (0%)","114"
"com.symatiq.states.AppState.getPathToBookmark (java.util.List, java.util.List)","0.056 ms (0%)","0.0 ms (0%)","0.056 ms (0%)","0.0 ms (0%)","11"
"com.symatiq.states.AppState.getBookmarks ()","0.015 ms (0%)","0.0 ms (0%)","0.131 ms (0%)","0.0 ms (0%)","12"
"com.symatiq.states.AppState.getBookmarks (java.util.List, java.util.IdentityHashMap)","0.051 ms (0%)","0.0 ms (0%)","0.116 ms (0%)","0.0 ms (0%)","48"
"com.symatiq.states.AppState.getVisibleActions ()","24.9 ms (0%)","0.0 ms (0%)","24.9 ms (0%)","0.0 ms (0%)","13,680"
"com.symatiq.states.AppState.getLeafCount ()","0.570 ms (0%)","0.0 ms (0%)","19.6 ms (0%)","0.0 ms (0%)","2,980"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","2.39 ms (0%)","0.0 ms (0%)","19.1 ms (0%)","0.0 ms (0%)","9,038"
"com.symatiq.states.AppState.containIssues ()","0.471 ms (0%)","0.0 ms (0%)","5.45 ms (0%)","0.0 ms (0%)","2,980"
"org.openqa.selenium.logging.CompositeLocalLogs.addEntry (String, org.openqa.selenium.logging.LogEntry)","0.410 ms (0%)","0.0 ms (0%)","0.792 ms (0%)","0.0 ms (0%)","256"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","6.93 ms (0%)","0.0 ms (0%)","6.93 ms (0%)","0.0 ms (0%)","146"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.image.BufferedImage)","0.014 ms (0%)","0.0 ms (0%)","0.058 ms (0%)","0.0 ms (0%)","29"
"com.symatiq.extension.PluginThreads.callMethod (String, String, com.symatiq.actions.Action)","1.3 ms (0%)","0.0 ms (0%)","382 ms (0.1%)","4.24 ms (0.3%)","65"
"com.symatiq.extension.PluginThreads.callMethod (String, String)","2.62 ms (0%)","0.0 ms (0%)","5,689 ms (2.1%)","0.0 ms (0%)","113"
"com.symatiq.Scout$MyMouseListener.mousePressed (java.awt.event.MouseEvent)","0.318 ms (0%)","0.0 ms (0%)","0.318 ms (0%)","0.0 ms (0%)","11"
"com.symatiq.Scout$MyMouseListener.mouseReleased (java.awt.event.MouseEvent)","0.534 ms (0%)","0.0 ms (0%)","2.92 ms (0%)","0.0 ms (0%)","11"
"com.symatiq.Scout$MyMouseListener.mouseExited (java.awt.event.MouseEvent)","0.019 ms (0%)","0.0 ms (0%)","0.019 ms (0%)","0.0 ms (0%)","4"
"com.symatiq.Scout$MyMouseListener.mouseMoved (java.awt.event.MouseEvent)","8.94 ms (0%)","0.0 ms (0%)","8.94 ms (0%)","0.0 ms (0%)","597"
"com.symatiq.Scout$MyMouseListener.mouseDragged (java.awt.event.MouseEvent)","2.25 ms (0%)","0.0 ms (0%)","25.1 ms (0%)","0.0 ms (0%)","144"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (Object)","0.060 ms (0%)","0.0 ms (0%)","1,990 ms (0.7%)","0.0 ms (0%)","128"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","4.73 ms (0%)","0.0 ms (0%)","1,990 ms (0.7%)","0.0 ms (0%)","128"
"org.openqa.selenium.json.JsonInputIterator.hasNext ()","0.125 ms (0%)","0.0 ms (0%)","0.839 ms (0%)","0.0 ms (0%)","264"
"org.openqa.selenium.json.JsonInputIterator.next ()","0.022 ms (0%)","0.0 ms (0%)","0.022 ms (0%)","0.0 ms (0%)","132"
"org.openqa.selenium.json.JsonInputIterator.asStream ()","0.235 ms (0%)","0.0 ms (0%)","0.235 ms (0%)","0.0 ms (0%)","132"
"com.symatiq.Scout$RemoteKeyListener.keyPressed (java.awt.event.KeyEvent)","0.276 ms (0%)","0.0 ms (0%)","2.8 ms (0%)","15.5 ms (0.9%)","10"
"plugin.Autopilot.updateState ()","0.014 ms (0%)","0.0 ms (0%)","0.026 ms (0%)","0.0 ms (0%)","8"
"plugin.Autopilot.changeState ()","0.022 ms (0%)","0.0 ms (0%)","0.024 ms (0%)","0.0 ms (0%)","3"
"plugin.Autopilot.autoPerformAction ()","0.006 ms (0%)","0.0 ms (0%)","0.007 ms (0%)","0.0 ms (0%)","8"
"org.openqa.selenium.json.JsonOutput$JsonObject.name (String)","0.171 ms (0%)","0.0 ms (0%)","1.19 ms (0%)","0.0 ms (0%)","224"
"org.openqa.selenium.json.JsonOutput$JsonObject.write (String)","0.048 ms (0%)","0.0 ms (0%)","0.109 ms (0%)","0.0 ms (0%)","224"
"org.openqa.selenium.remote.Dialect$1.getEncodedElementKey ()","0.004 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","6"
"org.openqa.selenium.By.xpath (String)","0.031 ms (0%)","0.0 ms (0%)","0.038 ms (0%)","0.0 ms (0%)","4"
"plugin.MimicActions.updateSuggestions ()","0.033 ms (0%)","0.0 ms (0%)","0.553 ms (0%)","0.0 ms (0%)","3"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute (org.openqa.selenium.remote.http.HttpRequest)","0.142 ms (0%)","0.0 ms (0%)","2,381 ms (0.9%)","0.0 ms (0%)","128"
"org.openqa.selenium.remote.http.jdk.JdkHttpClient.execute0 (org.openqa.selenium.remote.http.HttpRequest)","2,363 ms (1.5%)","0.0 ms (0%)","2,379 ms (0.9%)","0.0 ms (0%)","128"
"com.symatiq.utils.TextUtils.spaceToComma (String)","0.143 ms (0%)","0.0 ms (0%)","0.143 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.utils.TextUtils.splitSpace (String)","0.249 ms (0%)","0.0 ms (0%)","0.249 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.extension.PluginThreads$CallActionMethodThread.run ()","0.034 ms (0%)","0.0 ms (0%)","382 ms (0.1%)","4.24 ms (0.3%)","65"
"org.openqa.selenium.remote.service.DriverCommandExecutor.execute (org.openqa.selenium.remote.Command)","0.122 ms (0%)","0.0 ms (0%)","4,433 ms (1.6%)","0.0 ms (0%)","128"
"org.openqa.selenium.remote.service.DriverCommandExecutor.invokeExecute (org.openqa.selenium.remote.Command)","0.072 ms (0%)","0.0 ms (0%)","4,433 ms (1.6%)","0.0 ms (0%)","128"
"org.openqa.selenium.remote.Command.getName ()","0.100 ms (0%)","0.0 ms (0%)","0.100 ms (0%)","0.0 ms (0%)","1,536"
"org.openqa.selenium.remote.Command.getParameters ()","0.040 ms (0%)","0.0 ms (0%)","0.040 ms (0%)","0.0 ms (0%)","128"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.createResponse (java.net.http.HttpResponse)","1.36 ms (0%)","0.0 ms (0%)","3.75 ms (0%)","0.0 ms (0%)","128"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.createRequest (org.openqa.selenium.remote.http.HttpRequest, org.openqa.selenium.remote.http.HttpMethod, java.net.URI)","8.19 ms (0%)","0.0 ms (0%)","11.1 ms (0%)","0.0 ms (0%)","128"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.notChunkingBodyPublisher (org.openqa.selenium.remote.http.HttpRequest)","0.246 ms (0%)","0.0 ms (0%)","0.286 ms (0%)","0.0 ms (0%)","98"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.lambda$createResponse$3 (org.openqa.selenium.remote.http.HttpResponse, String, String)","0.100 ms (0%)","0.0 ms (0%)","0.599 ms (0%)","0.0 ms (0%)","384"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.lambda$createResponse$4 (org.openqa.selenium.remote.http.HttpResponse, String, java.util.List)","1.23 ms (0%)","0.0 ms (0%)","1.84 ms (0%)","0.0 ms (0%)","384"
