"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.getIssues ()","4.58 ms (0%)","0.0 ms (0%)","4.58 ms (0%)","0.0 ms (0%)","21,334"
"com.symatiq.states.AppState.addWidgets (java.util.List, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.342 ms (0%)","0.0 ms (0%)","0.957 ms (0%)","0.0 ms (0%)","32"
"com.symatiq.states.AppState.removeWidgets (String, com.symatiq.widgets.Widget.WidgetVisibility)","0.252 ms (0%)","0.0 ms (0%)","0.252 ms (0%)","0.0 ms (0%)","32"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","12.3 ms (0%)","0.0 ms (0%)","28.5 ms (0%)","1.10 ms (0%)","49,276"
"com.symatiq.states.AppState.isHome ()","3.83 ms (0%)","0.0 ms (0%)","3.83 ms (0%)","0.0 ms (0%)","68,370"
"com.symatiq.states.AppState.coveredPagesPercent (String)","1.5 ms (0%)","0.0 ms (0%)","22.2 ms (0%)","0.0 ms (0%)","5,445"
"com.symatiq.states.AppState.coveredPagesPercent (String, boolean)","5.24 ms (0%)","0.0 ms (0%)","21.1 ms (0%)","0.0 ms (0%)","5,445"
"com.symatiq.states.AppState.replaceSuggestedWidgets (java.util.List, String)","0.003 ms (0%)","0.0 ms (0%)","0.008 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.states.AppState.replaceHiddenWidgets (java.util.List, String)","0.032 ms (0%)","0.0 ms (0%)","1.23 ms (0%)","0.0 ms (0%)","31"
"com.symatiq.states.AppState.getNonHiddenWidgets ()","7.16 ms (0%)","0.0 ms (0%)","7.16 ms (0%)","0.0 ms (0%)","5,445"
"org.openqa.selenium.logging.CompositeLocalLogs.addEntry (String, org.openqa.selenium.logging.LogEntry)","1.63 ms (0%)","0.0 ms (0%)","2.58 ms (0%)","0.0 ms (0%)","2,530"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String, com.symatiq.actions.Action)","39.8 ms (0%)","0.0 ms (0%)","39.8 ms (0%)","0.0 ms (0%)","1,345"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","5.45 ms (0%)","0.0 ms (0%)","5.45 ms (0%)","0.0 ms (0%)","124"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.image.BufferedImage)","0.033 ms (0%)","0.0 ms (0%)","0.084 ms (0%)","0.0 ms (0%)","62"
"com.symatiq.extension.PluginThreads.callMethod (String, String, com.symatiq.actions.Action)","2.4 ms (0%)","0.0 ms (0%)","113 ms (0%)","0.0 ms (0%)","20"
"com.symatiq.extension.PluginThreads.callMethod (String, String)","3.87 ms (0%)","0.0 ms (0%)","64,743 ms (3.6%)","0.0 ms (0%)","102"
"com.symatiq.Scout$MyMouseListener.mousePressed (java.awt.event.MouseEvent)","0.534 ms (0%)","0.0 ms (0%)","0.534 ms (0%)","0.0 ms (0%)","16"
"com.symatiq.Scout$MyMouseListener.mouseReleased (java.awt.event.MouseEvent)","0.677 ms (0%)","0.0 ms (0%)","3.79 ms (0%)","0.0 ms (0%)","16"
"com.symatiq.Scout$MyMouseListener.mouseExited (java.awt.event.MouseEvent)","0.005 ms (0%)","0.0 ms (0%)","0.005 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.Scout$MyMouseListener.mouseMoved (java.awt.event.MouseEvent)","48.5 ms (0%)","0.0 ms (0%)","48.5 ms (0%)","0.0 ms (0%)","5,142"
"com.symatiq.Scout$MyMouseListener.mouseDragged (java.awt.event.MouseEvent)","3.17 ms (0%)","0.0 ms (0%)","92.5 ms (0%)","14.9 ms (0.5%)","248"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (Object)","0.345 ms (0%)","0.0 ms (0%)","1,232 ms (0.1%)","27.9 ms (0.9%)","1,265"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","7.49 ms (0%)","0.0 ms (0%)","1,232 ms (0.1%)","27.9 ms (0.9%)","1,265"
