"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.states.AppState.addIteration ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.addProductVersion (String)","0.001 ms (0%)","0.0 ms (0%)","0.006 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.596 ms (0%)","0.0 ms (0%)","0.596 ms (0%)","0.0 ms (0%)","3,616"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget)","0.008 ms (0%)","0.0 ms (0%)","0.008 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.states.AppState.getStateCount ()","0.007 ms (0%)","0.0 ms (0%)","0.030 ms (0%)","0.0 ms (0%)","4"
"com.symatiq.states.AppState.getAllWidgets ()","11.5 ms (0%)","0.0 ms (0%)","11.5 ms (0%)","0.0 ms (0%)","16,591"
"com.symatiq.states.AppState.getCurrentPath ()","0.019 ms (0%)","0.0 ms (0%)","0.019 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.coveredPercent (String)","1.18 ms (0%)","0.0 ms (0%)","22.9 ms (0%)","0.0 ms (0%)","5,528"
"com.symatiq.states.AppState.coveredPercent (String, boolean)","2.38 ms (0%)","0.0 ms (0%)","22.6 ms (0%)","0.0 ms (0%)","6,183"
"com.symatiq.states.AppState.getIssues ()","8.60 ms (0%)","0.0 ms (0%)","8.60 ms (0%)","0.0 ms (0%)","27,298"
"com.symatiq.states.AppState.addWidgets (java.util.List, com.symatiq.widgets.Widget.WidgetVisibility, String)","0.295 ms (0%)","0.0 ms (0%)","0.891 ms (0%)","0.0 ms (0%)","33"
"com.symatiq.states.AppState.removeWidgets (String, com.symatiq.widgets.Widget.WidgetVisibility)","0.285 ms (0%)","0.0 ms (0%)","0.285 ms (0%)","0.0 ms (0%)","33"
"com.symatiq.states.AppState.isHome ()","4.67 ms (0%)","0.0 ms (0%)","4.67 ms (0%)","0.0 ms (0%)","103,915"
"com.symatiq.states.AppState.covered (String, java.util.IdentityHashMap, java.util.List, java.util.List, boolean)","14.6 ms (0%)","0.0 ms (0%)","35.9 ms (0%)","0.0 ms (0%)","61,669"
"com.symatiq.states.AppState.getVisibleActions ()","54.4 ms (0%)","0.0 ms (0%)","54.4 ms (0%)","0.0 ms (0%)","114,977"
"com.symatiq.states.AppState.getCoveredStates (java.util.IdentityHashMap)","0.006 ms (0%)","0.0 ms (0%)","0.020 ms (0%)","0.0 ms (0%)","6"
"com.symatiq.states.AppState.getLeafCount ()","3.9 ms (0%)","0.0 ms (0%)","59.2 ms (0%)","6.89 ms (0.2%)","24,979"
"com.symatiq.states.AppState.getPathToBookmark (java.util.List, java.util.List)","0.102 ms (0%)","0.0 ms (0%)","0.102 ms (0%)","0.0 ms (0%)","15"
"com.symatiq.states.AppState.containIssues ()","2.29 ms (0%)","0.0 ms (0%)","10.9 ms (0%)","0.0 ms (0%)","27,298"
"org.openqa.selenium.logging.CompositeLocalLogs.addEntry (String, org.openqa.selenium.logging.LogEntry)","1.96 ms (0%)","0.0 ms (0%)","3.16 ms (0%)","0.0 ms (0%)","3,696"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","5.2 ms (0%)","0.0 ms (0%)","5.2 ms (0%)","0.0 ms (0%)","118"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.image.BufferedImage)","0.028 ms (0%)","0.0 ms (0%)","0.070 ms (0%)","0.0 ms (0%)","48"
"com.symatiq.extension.PluginThreads.callMethod (String, String, java.awt.Graphics)","137 ms (0%)","0.0 ms (0%)","5,041 ms (0.3%)","0.0 ms (0%)","60,808"
"com.symatiq.extension.PluginThreads.callMethod (String, String, com.symatiq.actions.Action)","0.074 ms (0%)","0.0 ms (0%)","3,571 ms (0.2%)","0.0 ms (0%)","10"
"com.symatiq.extension.PluginThreads.callMethod (String, String)","3.20 ms (0%)","0.0 ms (0%)","64,998 ms (3.4%)","0.0 ms (0%)","81"
"com.symatiq.Scout$MyMouseListener.mousePressed (java.awt.event.MouseEvent)","0.561 ms (0%)","0.0 ms (0%)","0.561 ms (0%)","0.0 ms (0%)","16"
"com.symatiq.Scout$MyMouseListener.mouseReleased (java.awt.event.MouseEvent)","0.743 ms (0%)","0.0 ms (0%)","4.38 ms (0%)","0.0 ms (0%)","16"
"com.symatiq.Scout$MyMouseListener.mouseExited (java.awt.event.MouseEvent)","0.004 ms (0%)","0.0 ms (0%)","0.004 ms (0%)","0.0 ms (0%)","1"
"com.symatiq.Scout$MyMouseListener.mouseMoved (java.awt.event.MouseEvent)","51.9 ms (0%)","0.0 ms (0%)","51.9 ms (0%)","0.0 ms (0%)","5,290"
"com.symatiq.Scout$MyMouseListener.mouseDragged (java.awt.event.MouseEvent)","2.44 ms (0%)","0.0 ms (0%)","33.7 ms (0%)","15.0 ms (0.5%)","201"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (Object)","0.512 ms (0%)","0.0 ms (0%)","1,306 ms (0.1%)","0.0 ms (0%)","1,848"
"org.openqa.selenium.remote.codec.w3c.W3CHttpResponseCodec.decode (org.openqa.selenium.remote.http.HttpResponse)","8.81 ms (0%)","0.0 ms (0%)","1,306 ms (0.1%)","0.0 ms (0%)","1,848"
"org.openqa.selenium.json.JsonInputIterator.asStream ()","0.876 ms (0%)","0.0 ms (0%)","0.876 ms (0%)","0.0 ms (0%)","4,533"
"org.openqa.selenium.json.JsonInputIterator.hasNext ()","1.9 ms (0%)","0.0 ms (0%)","13.3 ms (0%)","0.0 ms (0%)","14,640"
"org.openqa.selenium.json.JsonInputIterator.next ()","0.241 ms (0%)","0.0 ms (0%)","0.241 ms (0%)","0.0 ms (0%)","10,107"
"plugin.AppiumPlugin.performAction (com.symatiq.actions.Action)","0.008 ms (0%)","0.0 ms (0%)","3,571 ms (0.2%)","0.0 ms (0%)","2"
"plugin.AppiumPlugin.getCapture ()","0.098 ms (0%)","0.0 ms (0%)","65,045 ms (3.4%)","0.0 ms (0%)","48"
"plugin.AppiumPlugin.performAppiumAction (com.symatiq.actions.Action)","2.33 ms (0%)","0.0 ms (0%)","3,571 ms (0.2%)","0.0 ms (0%)","2"
"plugin.AppiumPlugin.lambda$createWidgets$2 (java.util.concurrent.ConcurrentLinkedQueue, java.util.Set, java.util.concurrent.ConcurrentLinkedQueue)","10.4 ms (0%)","0.0 ms (0%)","123,243 ms (6.4%)","24.9 ms (0.9%)","74"
"plugin.AppiumPlugin.lambda$createWidgets$1 (com.symatiq.widgets.Widget)","0.204 ms (0%)","0.0 ms (0%)","0.280 ms (0%)","0.0 ms (0%)","2,540"
"plugin.AppiumPlugin.createWidgetFromElement (org.openqa.selenium.WebElement, String, String, String, String, String, String)","5.85 ms (0%)","0.0 ms (0%)","18,118 ms (0.9%)","0.0 ms (0%)","123"
"plugin.AppiumPlugin.shutdownAndAwaitTermination (java.util.concurrent.ExecutorService)","49,350 ms (9.2%)","0.0 ms (0%)","49,350 ms (2.6%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.lambda$createWidgets$0 (com.symatiq.widgets.Widget)","0.205 ms (0%)","0.0 ms (0%)","0.431 ms (0%)","0.0 ms (0%)","2,540"
"plugin.AppiumPlugin.changeState ()","0.003 ms (0%)","0.0 ms (0%)","0.003 ms (0%)","0.0 ms (0%)","2"
"plugin.AppiumPlugin.updateLastWidgets (java.util.List)","0.078 ms (0%)","0.0 ms (0%)","1.27 ms (0%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.createWidgets ()","25.0 ms (0%)","0.0 ms (0%)","53,230 ms (2.8%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.getScreenshot ()","0.152 ms (0%)","0.0 ms (0%)","6,068 ms (0.3%)","0.0 ms (0%)","31"
"plugin.AppiumPlugin.updateCapture ()","0.161 ms (0%)","0.0 ms (0%)","65,045 ms (3.4%)","0.0 ms (0%)","48"
"plugin.AppiumPlugin.widgetClickHandle (com.symatiq.widgets.Widget)","0.017 ms (0%)","0.0 ms (0%)","3,317 ms (0.2%)","0.0 ms (0%)","2"
"plugin.AppiumPlugin.hasSourceChanged ()","0.150 ms (0%)","0.0 ms (0%)","5,745 ms (0.3%)","0.0 ms (0%)","34"
"plugin.AppiumPlugin.isCheckTag (String)","0.231 ms (0%)","0.0 ms (0%)","0.231 ms (0%)","0.0 ms (0%)","123"
"plugin.Autopilot.updateState ()","0.007 ms (0%)","0.0 ms (0%)","0.016 ms (0%)","0.0 ms (0%)","4"
"plugin.Autopilot.changeState ()","0.026 ms (0%)","0.0 ms (0%)","0.027 ms (0%)","0.0 ms (0%)","2"
"plugin.Autopilot.autoPerformAction ()","0.005 ms (0%)","0.0 ms (0%)","0.005 ms (0%)","0.0 ms (0%)","4"
"org.openqa.selenium.json.JsonOutput$JsonObject.name (String)","0.083 ms (0%)","0.0 ms (0%)","0.808 ms (0%)","0.0 ms (0%)","96"
"org.openqa.selenium.json.JsonOutput$JsonObject.write (String)","0.016 ms (0%)","0.0 ms (0%)","0.032 ms (0%)","0.0 ms (0%)","96"
