"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","0.371 ms (0%)","0.0 ms (0%)","0.411 ms (0%)","0.0 ms (0%)","46"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","5.22 ms (0%)","0.0 ms (0%)","5.97 ms (0%)","0.0 ms (0%)","7,124"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.016 ms (0%)","0.0 ms (0%)","13.1 ms (0%)","0.0 ms (0%)","2"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","24.2 ms (0%)","0.0 ms (0%)","24.2 ms (0%)","0.0 ms (0%)","978,816"
"plugin.SeleniumPlugin.computeDistance (String, String)","31.5 ms (0%)","0.0 ms (0%)","31.5 ms (0%)","0.0 ms (0%)","32,876"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.021 ms (0%)","0.0 ms (0%)","0.120 ms (0%)","0.0 ms (0%)","2"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.021 ms (0%)","0.0 ms (0%)","1.38 ms (0%)","0.0 ms (0%)","41"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.059 ms (0%)","0.0 ms (0%)","0.249 ms (0%)","0.0 ms (0%)","146"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$0 (Number)","0.093 ms (0%)","0.0 ms (0%)","0.093 ms (0%)","0.0 ms (0%)","92"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$buildCoercer$6 (java.util.function.BiFunction, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","0.878 ms (0%)","0.0 ms (0%)","1,785 ms (0.6%)","0.0 ms (0%)","773"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$2 (java.util.LinkedHashMap, java.util.Map.Entry)","0.435 ms (0%)","0.0 ms (0%)","0.435 ms (0%)","0.0 ms (0%)","195"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","1.13 ms (0%)","0.0 ms (0%)","1,785 ms (0.6%)","0.0 ms (0%)","773"
"com.symatiq.states.AppState.getVisibleWidgets ()","5.11 ms (0%)","0.0 ms (0%)","5.11 ms (0%)","0.0 ms (0%)","7,410"
"com.symatiq.states.AppState.putMetadata (String, Object)","0.042 ms (0%)","0.0 ms (0%)","0.042 ms (0%)","0.0 ms (0%)","62"
"com.symatiq.states.AppState.getMetadata (String)","1.1 ms (0%)","0.0 ms (0%)","1.1 ms (0%)","0.0 ms (0%)","7,433"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List)","0.011 ms (0%)","0.0 ms (0%)","0.862 ms (0%)","0.0 ms (0%)","9"
"com.symatiq.states.AppState.getClonesAndMutations (java.util.List, int, java.util.List)","0.650 ms (0%)","0.0 ms (0%)","0.800 ms (0%)","0.0 ms (0%)","37"
"com.symatiq.states.AppState.containsProductVersion (String)","0.637 ms (0%)","0.0 ms (0%)","0.637 ms (0%)","0.0 ms (0%)","11,102"
"com.symatiq.states.AppState.getStateCount ()","0.037 ms (0%)","0.0 ms (0%)","0.378 ms (0%)","0.0 ms (0%)","32"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget)","0.017 ms (0%)","0.0 ms (0%)","0.017 ms (0%)","0.0 ms (0%)","8"
"com.symatiq.states.AppState.addWidget (com.symatiq.widgets.Widget, com.symatiq.widgets.Widget.WidgetVisibility, String)","1.17 ms (0%)","0.0 ms (0%)","1.17 ms (0%)","0.0 ms (0%)","6,955"
"com.symatiq.states.AppState.getCurrentPath ()","0.013 ms (0%)","0.0 ms (0%)","0.013 ms (0%)","0.0 ms (0%)","9"
"com.symatiq.states.AppState.getAllWidgets ()","4.24 ms (0%)","0.0 ms (0%)","4.24 ms (0%)","0.0 ms (0%)","2,465"
