"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"plugin.SeleniumPlugin.bestNeighborScore (com.symatiq.states.Neighbor, java.util.List, int)","1.28 ms (0%)","0.0 ms (0%)","34.9 ms (0%)","0.0 ms (0%)","7,674"
"plugin.SeleniumPlugin.diffScore (int, int, int, int)","2.28 ms (0%)","0.0 ms (0%)","2.28 ms (0%)","0.0 ms (0%)","111,144"
"plugin.SeleniumPlugin.neighborScore (com.symatiq.states.Neighbor, com.symatiq.states.Neighbor, int)","4.85 ms (0%)","0.0 ms (0%)","33.7 ms (0%)","0.0 ms (0%)","27,036"
"plugin.SeleniumPlugin.object2String (Object)","9.59 ms (0%)","0.0 ms (0%)","9.59 ms (0%)","0.0 ms (0%)","427,584"
"plugin.SeleniumPlugin.addCheckWidget (com.symatiq.widgets.Widget, java.util.List, String, String, String)","2.25 ms (0%)","0.0 ms (0%)","5.67 ms (0%)","7.75 ms (0.4%)","5,888"
"plugin.SeleniumPlugin.addContains (com.symatiq.widgets.Widget, java.util.List)","5.74 ms (0%)","0.0 ms (0%)","6.67 ms (0%)","0.0 ms (0%)","8,468"
"plugin.SeleniumPlugin.addPageContent (java.util.List)","0.450 ms (0%)","0.0 ms (0%)","0.497 ms (0%)","0.0 ms (0%)","54"
"plugin.SeleniumPlugin.addNeighbors (com.symatiq.widgets.Widget, java.util.List)","45.8 ms (0%)","0.0 ms (0%)","141 ms (0%)","0.0 ms (0%)","8,468"
"plugin.SeleniumPlugin.containsNeighbor (java.util.List, int, int, int, int)","0.953 ms (0%)","0.0 ms (0%)","0.953 ms (0%)","0.0 ms (0%)","22,686"
"plugin.SeleniumPlugin.findClosest (java.awt.Rectangle, java.awt.Rectangle)","29.6 ms (0%)","0.0 ms (0%)","29.6 ms (0%)","0.0 ms (0%)","1,180,634"
"plugin.SeleniumPlugin.findWebElementInt (com.symatiq.widgets.Widget)","0.014 ms (0%)","0.0 ms (0%)","16.9 ms (0%)","0.0 ms (0%)","3"
"plugin.SeleniumPlugin.computeDistance (String, String)","22.7 ms (0%)","0.0 ms (0%)","22.7 ms (0%)","0.0 ms (0%)","26,109"
"plugin.SeleniumPlugin.typeSeleniumKeyTag (org.openqa.selenium.WebElement, String, StringBuffer)","0.008 ms (0%)","0.0 ms (0%)","0.008 ms (0%)","0.0 ms (0%)","7"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.012 ms (0%)","0.0 ms (0%)","0.125 ms (0%)","0.0 ms (0%)","3"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.030 ms (0%)","0.0 ms (0%)","1.42 ms (0%)","0.0 ms (0%)","50"
"org.openqa.selenium.json.JsonOutput$Root.write (String)","0.074 ms (0%)","0.0 ms (0%)","0.269 ms (0%)","0.0 ms (0%)","175"
"org.openqa.selenium.json.JsonTypeCoercer.lambda$new$0 (Number)","0.181 ms (0%)","0.0 ms (0%)","0.181 ms (0%)","0.0 ms (0%)","110"
